epoch,train_loss,val_loss
1,0.198841,0.104080
2,0.054688,0.060592
3,0.034527,0.051114
4,0.026068,0.042974
5,0.019879,0.041020
6,0.015942,0.036536
7,0.012936,0.028905
8,0.010752,0.027977
9,0.009067,0.024755
10,0.007830,0.023182
11,0.006825,0.021407
12,0.006110,0.021437
13,0.005617,0.019240
14,0.005247,0.018243
15,0.004961,0.016776
16,0.004731,0.015023
17,0.004541,0.013925
18,0.004378,0.012780
19,0.004233,0.011324
20,0.004101,0.010539
21,0.003976,0.009471
22,0.003859,0.009451
23,0.003748,0.009248
24,0.003640,0.008597
25,0.003537,0.008626
26,0.003433,0.008446
27,0.003326,0.008211
28,0.003214,0.007930
29,0.003099,0.006458
30,0.002972,0.007338
31,0.002847,0.006790
32,0.002727,0.005981
33,0.002612,0.006657
34,0.002508,0.006452
35,0.002412,0.006273
36,0.002326,0.006139
37,0.002251,0.005790
38,0.002183,0.005595
39,0.002121,0.005677
40,0.002069,0.005294
41,0.002022,0.005107
42,0.001979,0.004792
43,0.001940,0.004829
44,0.001906,0.004483
45,0.001875,0.004610
46,0.001847,0.004365
47,0.001821,0.004242
48,0.001800,0.004230
49,0.001776,0.004169
50,0.001759,0.004098
51,0.001741,0.004116
52,0.001725,0.004143
53,0.001710,0.004065
54,0.001696,0.004060
55,0.001684,0.004034
56,0.001673,0.004050
57,0.001661,0.003948
58,0.001652,0.004027
59,0.001642,0.003998
60,0.001634,0.003937
61,0.001625,0.003945
62,0.001617,0.003927
63,0.001610,0.003933
64,0.001603,0.003992
65,0.001597,0.003973
66,0.001590,0.003845
67,0.001584,0.003915
68,0.001579,0.003928
69,0.001573,0.003863
70,0.001568,0.003882
71,0.001563,0.003881
72,0.001558,0.003853
73,0.001552,0.003871
74,0.001551,0.003926
75,0.001543,0.003947
76,0.001539,0.003839
77,0.001534,0.003858
78,0.001531,0.003836
79,0.001527,0.003832
80,0.001523,0.003831
81,0.001519,0.003822
82,0.001516,0.003775
83,0.001511,0.003754
84,0.001509,0.003771
85,0.001505,0.003826
86,0.001501,0.003725
87,0.001499,0.003829
88,0.001495,0.003738
89,0.001492,0.003810
90,0.001489,0.003844
91,0.001486,0.003750
92,0.001483,0.003754
93,0.001480,0.003707
94,0.001477,0.003790
95,0.001475,0.003716
96,0.001472,0.003695
97,0.001470,0.003694
98,0.001467,0.003685
99,0.001464,0.003688
100,0.001462,0.003722
